date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:14	50863/50863	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e94ba9c-c6af%22	https://mittrayash.github.io/js/custom.js	E:/portfolio/pert/mittrayash.github.io/js/custom.js	(from https://mittrayash.github.io/index.html)
00:10:14	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e94ba9c-4e9f%22	https://mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.eot	E:/portfolio/pert/mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.eot	(from https://mittrayash.github.io/bootstrap/css/bootstrap.min.css)
00:10:15	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%225e94ba9c-466c%22	https://mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.woff2	E:/portfolio/pert/mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from https://mittrayash.github.io/bootstrap/css/bootstrap.min.css)
00:10:16	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e94ba9c-4e9f%22	https://mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.eot?	E:/portfolio/pert/mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from https://mittrayash.github.io/bootstrap/css/bootstrap.min.css)
00:10:16	23424/23424	---M--	200	added ('OK')	font/woff	etag:%225e94ba9c-5b80%22	https://mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.woff	E:/portfolio/pert/mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.woff	(from https://mittrayash.github.io/bootstrap/css/bootstrap.min.css)
00:10:16	45404/45404	---M-Z	200	added ('OK')	font/ttf	etag:W/%225e94ba9c-b15c%22	https://mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.ttf	E:/portfolio/pert/mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from https://mittrayash.github.io/bootstrap/css/bootstrap.min.css)
00:10:18	19879/19879	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e94ba9c-4da7%22	https://mittrayash.github.io/css/fonts/aileron_regular-webfont.eot?	E:/portfolio/pert/mittrayash.github.io/css/fonts/aileron_regular-webfontd41d.eot	(from https://mittrayash.github.io/css/style.css)
00:10:18	17752/17752	---M--	200	added ('OK')	font/woff2	etag:%225e94ba9c-4558%22	https://mittrayash.github.io/css/fonts/aileron_regular-webfont.woff2	E:/portfolio/pert/mittrayash.github.io/css/fonts/aileron_regular-webfont.woff2	(from https://mittrayash.github.io/css/style.css)
00:10:18	109025/109025	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e94ba9c-1a9e1%22	https://mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.svg	E:/portfolio/pert/mittrayash.github.io/bootstrap/fonts/glyphicons-halflings-regular.svg	(from https://mittrayash.github.io/bootstrap/css/bootstrap.min.css)
00:10:18	19879/19879	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e94ba9c-4da7%22	https://mittrayash.github.io/css/fonts/aileron_regular-webfont.eot	E:/portfolio/pert/mittrayash.github.io/css/fonts/aileron_regular-webfont.eot	(from https://mittrayash.github.io/css/style.css)
